product_name,product_subtitle,product_price,product_no_colors
Nike SF Air Force 1,Men's Boot,"₹16,995",2 Colours
Air Jordan 1 Retro High OG 'Cool Blue',Men's Shoe,"₹15,995",4 Colours
Air Jordan 6 Retro CNY,Men's Shoe,"₹24,995",1 Colour
Nike Air VaporMax Flyknit,Men's Running Shoe,"₹19,995",3 Colours
Nike Metcon 4,Men's Training Shoe,"₹11,995",3 Colours
Kyrie 4,Basketball Shoe,"₹10,995",2 Colours
Nike Zoom Fly,Men's Running Shoe,"₹14,495",2 Colours
Nike Free RN Flyknit 2017,Men's Running Shoe,"₹11,995",6 Colours
Air Jordan 1 Mid,Men's Shoe,"₹9,995",2 Colours
Nike Air Force 1 Low 07 LV8,Men's Shoe,"₹8,495",5 Colours
Jordan Zoom Tenacity,Men's Running Shoe,"₹10,995",3 Colours
NikeCourt Classic AC ND,Men's shoe,"₹6,795",2 Colours
Nike Kaishi 2.0,Men's Shoe,"₹6,195",2 Colours
Nike Air Force Max,Men's Shoe,"₹12,995",1 Colour
Nike Air Force 1 07,Men's Shoe,"₹7,995",2 Colours
Nike Zoom KDX,Basketball Shoe,"₹14,995",4 Colours
Air Jordan 1 Retro High OG,Men's Shoe,"₹14,995",1 Colour
LeBron 15,Basketball Shoe,"₹18,995",6 Colours
Air Jordan 13 Retro,Men's Shoe,"₹18,595",5 Colours
Nike SF Air Force 1 Mid,Men's Shoe,"₹15,795",3 Colours
Nike Air VaporMax Chukka Slip,Men's Shoe,"₹21,995",2 Colours
Nike Air Max 97 Premium SE,Men's Shoe,"₹17,995",1 Colour
"Air Jordan 6 Retro ""Like Mike""",Men's Shoe,"₹17,995",3 Colours
"Air Jordan XXXII Low ""Like Mike""",Men's Basketball Shoe,"₹14,397",5 Colours
Air Jordan XI Retro,Men's Shoe,"₹18,995",2 Colours
"Air Jordan XXXII ""Russ""",Men's Basketball Shoe,"₹19,995",4 Colours
Nike Metcon 4 iD,Men's Training Shoe,"₹14,595",5 Colours
Nike Air Max 1 Anniversary,Men's Shoe,"₹11,495",1 Colour
Nike Air Force 1 Mid '07,Men's Shoe,"₹7,595",3 Colours
Nike Classic Cortez,Men's Shoe,"₹6,595",2 Colours
Nike Roshe Two,Men's Shoe,"₹6,637",3 Colours
Nike Tanjun,Men's Shoe,"₹4,795",4 Colours
Nike SB Blazer Low XT,Men's Skateboarding Shoe,"₹5,997",1 Colour
Nike Air VaporMax LTR,Men's Running Shoe,"₹20,995",1 Colour
Nike Air VaporMax,Men's Running Shoe,"₹17,995",1 Colour
NIKE AIR VAPORMAX,Men's Running Shoe,"₹17,995",1 Colour
